date,load
2015-04-28 00:00:00+00:00,18801.958333333332
2015-04-29 00:00:00+00:00,18842.125
2015-04-30 00:00:00+00:00,18413.5
2015-05-01 00:00:00+00:00,11888.583333333334
2015-05-02 00:00:00+00:00,12468.291666666666
2015-05-03 00:00:00+00:00,11883.416666666666
2015-05-04 00:00:00+00:00,18304.041666666668
2015-05-05 00:00:00+00:00,19392.083333333332
2015-05-06 00:00:00+00:00,19447.166666666668
2015-05-07 00:00:00+00:00,19261.375
2015-05-08 00:00:00+00:00,19347.0
2015-05-09 00:00:00+00:00,15052.5
2015-05-10 00:00:00+00:00,12459.916666666666
2015-05-11 00:00:00+00:00,18298.958333333332
2015-05-12 00:00:00+00:00,19560.041666666668
2015-05-13 00:00:00+00:00,19868.625
2015-05-14 00:00:00+00:00,19966.958333333332
2015-05-15 00:00:00+00:00,19852.791666666668
2015-05-16 00:00:00+00:00,14983.208333333334
2015-05-17 00:00:00+00:00,12805.208333333334
2015-05-18 00:00:00+00:00,18727.291666666668
2015-05-19 00:00:00+00:00,19998.708333333332
2015-05-20 00:00:00+00:00,19997.083333333332
2015-05-21 00:00:00+00:00,19223.0
2015-05-22 00:00:00+00:00,18956.208333333332
2015-05-23 00:00:00+00:00,14998.541666666666
2015-05-24 00:00:00+00:00,12352.166666666666
2015-05-25 00:00:00+00:00,18282.75
2015-05-26 00:00:00+00:00,19211.0
2015-05-27 00:00:00+00:00,19153.75
2015-05-28 00:00:00+00:00,19040.083333333332
2015-05-29 00:00:00+00:00,18705.291666666668
2015-05-30 00:00:00+00:00,14410.541666666666
2015-05-31 00:00:00+00:00,12829.416666666666
2015-06-01 00:00:00+00:00,14343.0
2015-06-02 00:00:00+00:00,12543.333333333334
2015-06-03 00:00:00+00:00,19147.708333333332
2015-06-04 00:00:00+00:00,20862.666666666668
2015-06-05 00:00:00+00:00,21548.458333333332
2015-06-06 00:00:00+00:00,17582.125
2015-06-07 00:00:00+00:00,14974.541666666666
2015-06-08 00:00:00+00:00,21322.041666666668
2015-06-09 00:00:00+00:00,21643.375
2015-06-10 00:00:00+00:00,21701.416666666668
2015-06-11 00:00:00+00:00,21842.041666666668
2015-06-12 00:00:00+00:00,21798.541666666668
